,referenceDesignator,deployYear,imageFile,imageSerialNumber,imageAssetID,matching_asset_ids,proportion_match,matching_mfg_sn,exact_SN_match,exact_assetID_match,any_match
75,RS03AXPS-PC03A-07-CAMDSC302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/CAMDSC302_2022/CAMDSC302_20230825_131735_recovered.JPG,,ATAPL-78438-00001,,,,,,
76,RS03AXPS-PC03A-08-HYDBBA303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/HYDBBA303_2022/HYDBBA303_20230825_135608_recovered.JPG,1272,,['ATAPL-58324-00004'],,['1272'],True,,True
77,RS03AXPS-PC03A-4A-CTDPFA303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/CTDPFA303_2022/CTDPFA303_20230825_132142_recovered.JPG,16P71179-7233,,['ATAPL-66662-00004'],,['16P71179-7233'],True,,True
78,RS03AXPS-PC03A-4A-DOSTAD303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/DOSTAD303_2022/DOSTAD303_20230825_132301_recovered.JPG,1794559,,,,,,,
79,RS03AXPS-PC03A-4B-PHSENA302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/PHSENA302_2022/PHSENA302_20230825_131910_recovered.JPG,P0110,ATAPL-58337-00004,['ATAPL-58337-00004'],,['P0110'],True,,True
80,RS03AXPS-PC03A-4C-FLORDD303,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/PC03A/PC03A_2022/FLORDD303_2022/FLORDD303_20230825_132422_recovered.JPG,1131,ATAPL-58322-00004,['ATOSU-58346-00008'],,['1131'],True,,True
81,RS03AXPS-SF03A-2A-CTDPFA302,2022,"/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/CTDPFA302_2022/CTDPFA302_20230825_091323_recovered.JPG, /Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/CTDPFA302_2022/CTDPFA302_20230825_091316_recovered.JPG",90641-102,,,,,,,
82,RS03AXPS-SF03A-2A-DOFSTA302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/DOFSTA302_2022/DOFSTA302_20230825_091406_recovered.JPG,1794924,,,,,,,
83,RS03AXPS-SF03A-2D-PHSENA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/PHSENA301_2022/PHSENA301_20230825_091247_recovered.JPG,P0112,ATAPL-58337-00002,['ATAPL-58337-00002'],,['P0112'],True,,True
84,RS03AXPS-SF03A-3A-FLORTD301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/FLORTD301_2022/FLORTD301_20230825_091222_recovered.JPG,5967,ATAPL-58322-00014,['ATAPL-58322-00014'],,['5967'],True,,True
85,RS03AXPS-SF03A-3B-OPTAAD301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/OPTAAD301_2022/OPTAAD301_20230825_090543_recovered.JPG,134,ATAPL-58332-00001,['ATAPL-58332-00001'],,['134'],True,,True
86,RS03AXPS-SF03A-4A-NUTNRA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/NUTNRA301_2022/NUTNRA301_20230825_091448_recovered.JPG,379,ATAPL-68020-00002,['ATAPL-68020-00002'],,['379'],True,,True
87,RS03AXPS-SF03A-4B-VELPTD302,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/VELPTD302_2022/VELPTD302_20230825_091505_recovered.JPG,6334,ATAPL-70114-00002,['ATAPL-70114-00002'],[0.5],['AQS-6334'],,,True
88,RS03AXPS-SF03A-4F-PCO2WA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/SF03A/SF03A_2022/PCO2WA301_2022/PCO2WA301_20230825_091601_recovered.JPG,C0124,ATAPL-58336-00010,['ATAPL-58336-00010'],,['C0124'],True,,True
89,RS03CCAL-MJ03F-12-CTDPFB305,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03B/CTDPFB304_2022/CTDPFB304_20230905_181527_recovered.JPG,2595170,,,,,,,
90,RS03ECAL-MJ03E-12-CTDPFB306,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03E/CTDPFB306_2022/CTDPFB306_20230917_001823_recovered.JPG,16-50321,ATCWK-67627-00008,['ATCWK-67627-00008'],,['16-50321'],True,,True
91,RS03INT1-MJ03C-07-D1000A301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03C/RASFLA301_2022/RASFLA301_20230905_000458_recovered.JPG,TABGB1052295,ATAPL-58340-00002,['ATAPL-58340-00002'],,,,True,True
92,RS03INT1-MJ03C-07-PPSDNA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03C/PPSDNA301_2022/PPSDNA301_20230905_000134_recovered.JPG,,ATAPL-58338-00003,['ATAPL-58338-00003'],,,,True,True
93,RS03INT1-MJ03C-07-RASFLA301,2022,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ03C/RASFLA301_2022/RASFLA301_20230905_000458_recovered.JPG,TABGB1052295,ATAPL-58340-00002,['ATAPL-58340-00002'],,,,True,True
94,CE02SHBP-LJ01D-05-ADCPTB104,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/ADCPTB104_2023/ADCPTB104_20230814_004945_predeploy.JPG,18493,ATOSU-69826-00001,['ATOSU-69826-00001'],,['18493'],True,,True
95,CE02SHBP-LJ01D-06-CTDBPN106,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/CTDBPN106_2023/CTDBPN106_20230814_004546_predeploy.JPG,16-50114,ATOSU-69827-00002,['ATOSU-69827-00002'],,['16-50114'],True,,True
96,CE02SHBP-LJ01D-06-DOSTAD106,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/DOSTAD106_2023/DOSTAD106_20230814_004615_predeploy.JPG,311,ATOSU-58320-00019,['ATOSU-58320-00019'],,['311'],True,,True
97,CE02SHBP-LJ01D-07-VEL3DC108,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/VEL3DC108_2023/VEL3DC108_20230814_004902_predeploy.JPG,13934,ATOSU-69829-00001,['ATOSU-69829-00001'],[0.5],[' VEC-13934'],,,True
98,CE02SHBP-LJ01D-08-OPTAAD106,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/OPTAAD106_2023/OPTAAD106_20230814_004343_predeploy.JPG,221,ATOSU-58332-00008,['ATOSU-58332-00008'],,['221'],True,,True
99,CE02SHBP-LJ01D-09-PCO2WB103,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/PCO2WB103_2023/PCO2WB103_20230814_005042_predeploy.JPG,C0116,ATOSU-58336-00007,['ATOSU-58336-00007'],,['C0116'],True,,True
100,CE02SHBP-LJ01D-10-PHSEND103,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/PHSEND103_2023/PHSEND103_20230814_005008_predeploy.JPG,P0131,ATOSU-58337-00008,['ATOSU-58337-00008'],,['P0131'],True,,True
101,CE02SHBP-LJ01D-11-HYDBBA106,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/LJ01D_2023/HYDBBA106_2023/HYDBBA106_20230814_004156_predeploy.JPG,141,,['ATAPL-69943-00001'],,['141'],True,,True
102,CE02SHBP-MJ01C-07-ZPLSCB101,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01C/ZPLSCB101_2023/ZPLSCB101_20230813_213713_predeploy.JPG,2,ATAPL-90485-20002,['ATAPL-71444-00002'],,['2'],True,,True
103,CE04OSBP-LJ01C-05-ADCPSI103,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/ADCPSI103_2023/ADCPSI103_20230815_184746_predeploy.JPG,18153,,['ATOSU-69825-00002'],,['18153'],True,,True
104,CE04OSBP-LJ01C-06-CTDBPO108,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/CTDBPO108_2023/CTDBPO108_20230815_184005_predeploy.JPG,7249,ATOSU-69828-00002,['ATOSU-69828-00002'],[0.31],['16P71879-7249'],,,True
105,CE04OSBP-LJ01C-06-DOSTAD108,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/DOSTAD108_2023/DOSTAD108_20230815_184046_predeploy.JPG,381,ATOSU-58320-00022,['ATOSU-58320-00022'],,['381'],True,,True
106,CE04OSBP-LJ01C-07-VEL3DC107,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/VEL3DC107_2023/VEL3DC107_20230815_184928_predeploy.JPG,5156/12587,ATOSU-69829-00002,['ATOSU-69829-00002'],"[0.5, 0.5]","['VEC-5156', ' VEC-12587']",,,True
107,CE04OSBP-LJ01C-08-OPTAAC104,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/OPTAAC104_2023/OPTAAC104_20230815_183725_predeploy.JPG,140,ATOSU-69943-00011,['ATOSU-69943-00011'],,['140'],True,,True
108,CE04OSBP-LJ01C-09-PCO2WB104,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/PCO2WB104_2023/PCO2WB104_20230815_185025_predeploy.JPG,C0090,ATOSU-70570-00003,['ATOSU-70570-00003'],,['C0090'],True,,True
109,CE04OSBP-LJ01C-10-PHSEND107,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/PHSEND107_2023/PHSEND107_20230815_185104_predeploy.JPG,P0132,ATOSU-70571-00003,['ATOSU-70571-00003'],,['P0132'],True,,True
110,CE04OSBP-LJ01C-11-HYDBBA105,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/LJ01C_2023/HYDBBA105_2023/HYDBBA105_20230815_184504_predeploy.JPG,1250,,['ATOSU-58324-00013'],,['1250'],True,,True
111,CE04OSBP-LV01C-06-CAMDSB106,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/CAMDSB106_2023/CAMDSB106_20230816_015832_predeploy.JPG,,ATAPL-78437-00058,,,,,,
112,CE04OSPD-DP01B-01-CTDPFL105,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2023/DP01B_20230910_081725_predeploy.JPG,52-0146,,['ATOSU-67977-00006'],,['52-0146'],True,,True
113,CE04OSPD-DP01B-02-VEL3DA105,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2023/DP01B_20230910_082625_predeploy.JPG,,ATAPL-58346-00002,['ATAPL-58346-00002'],,,,True,True
114,CE04OSPD-DP01B-03-FLCDRA103,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2023/DP01B_20230910_081632_predeploy.JPG,3399,ATAPL-70111-00002,['ATAPL-70111-00002'],,['3399'],True,,True
115,CE04OSPD-DP01B-04-FLNTUA103,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2023/DP01B_20230910_081641_predeploy.JPG,3762,ATOSU-70110-00006,['ATOSU-70110-00006'],,['3762'],True,,True
116,CE04OSPD-DP01B-06-DOSTAD105,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01C/DP01B_2023/DP01B_20230910_081653_predeploy.JPG,125,ATAPL-58320-00001,['ATAPL-58320-00001'],,['125'],True,,True
117,CE04OSPS-PC01B-05-ZPLSCB102,2023,"Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\ZPLSCB102_2023\ZPLSCB102_20230814_122746_predeploy.JPG,Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\ZPLSCB102_2023\ZPLSCB102_20230814_122803_predeploy.JPG",171,ATAPL-78516-20001,,,,,,
118,CE04OSPS-PC01B-4A-CTDPFA109,2023,Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\CTDPFA109_2023\CTDPFA109_20230814_121906_predeploy.JPG,16-50113,ATOSU-66662-00014,['ATOSU-66662-00014'],,['16-50113'],True,,True
119,CE04OSPS-PC01B-4A-DOSTAD109,2023,Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\DOSTAD109_2023\DOSTAD109_20230814_122035_predeploy.JPG,316,ATOSU-58320-00017,['ATOSU-58320-00017'],,['316'],True,,True
120,CE04OSPS-PC01B-4B-PHSENA106,2023,Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\PHSENA106_2023\PHSENA106_20230814_121656_predeploy.JPG,P0162,ATAPL-58337-00010,['ATAPL-58337-00010'],,['P0162'],True,,True
121,CE04OSPS-PC01B-4D-PCO2WA105,2023,Z:\For_Science\Mitch\Equipment_photos\PC01B\PC01B_2023\PCO2WA105_2023\PCO2WA105_20230815_102301_predeploy.JPG,C0123,ATAPL-58336-00009,['ATAPL-58336-00009'],,['C0123'],True,,True
122,CE04OSPS-SF01B-2A-CTDPFA107,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\CTDPFA107_2023\CTDPFA107_20230814_120056_predeploy.JPG,50019,ATOSU-66662-00007,['ATOSU-66662-00007'],[0.62],['16-50019'],,,True
123,CE04OSPS-SF01B-2A-DOFSTA107,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\DOFSTA107_2023\DOFSTA107_20230814_120332_predeploy.JPG,43-2853,,['ATOSU-58694-00004'],,['43-2853'],True,,True
124,CE04OSPS-SF01B-2B-PHSENA108,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\PHSENA108_2023\PHSENA108_20230814_115919_predeploy.JPG,P0153,ATOSU-58337-00001,['ATOSU-58337-00011'],,['P0153'],True,,True
125,CE04OSPS-SF01B-3A-FLORTD104,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\FLORTD104_2023\FLORTD104_20230814_120634_predeploy.JPG,1289,ATOSU-58322-00013,['ATOSU-58322-00013'],,['1289'],True,,True
126,CE04OSPS-SF01B-3B-OPTAAD105,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\OPTAAD105_2023\OPTAAD105_20230814_120507_predeploy.JPG,166,ATAPL-58332-00002,['ATAPL-58332-00002'],,['166'],True,,True
127,CE04OSPS-SF01B-4A-NUTNRA102,2023,"Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\NUTNRA102_2023\NUTNRA102_20230815_234702_predeploy.JPG, Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\NUTNRA102_2023\NUTNRA102_20230815_234644_predeploy.JPG",625,ATOSU-68020-00008,['ATOSU-68020-00008'],,['625'],True,,True
128,CE04OSPS-SF01B-4B-VELPTD106,2023,"Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\VELPTD106_2023\VELPTD106_20230814_115720_predeploy.JPG,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\VELPTD106_2023\VELPTD106_20230814_115653_predeploy.JPG",AQD-12692,ATOSU-70114-10008,['ATOSU-70114-10008'],[0.9],[' AQD-12692'],,,True
129,CE04OSPS-SF01B-4F-PCO2WA102,2023,Z:\For_Science\Mitch\Equipment_photos\SF01B\SF01B_2023\PCO2WA102_2023\PCO2WA102_20230814_120814_predeploy.JPG,C0078,ATOSU-58336-00005,['ATOSU-58336-00005'],,['C0078'],True,,True
130,RS01SBPD-DP01A-01-CTDPFL104,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2023/DP01A_20230911_081832_predeploy.JPG,,ATAPL-67977-00007,,,,,,
131,RS01SBPD-DP01A-03-FLCDRA102,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2023/DP01A_20230911_081849_predeploy.JPG,3717,ATOSU-70111-00006,['ATOSU-70111-00006'],,['3717'],True,,True
132,RS01SBPD-DP01A-04-FLNTUA102,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2023/DP01A_20230911_081852_predeploy.JPG,3397,ATAPL-70110-00002,['ATAPL-70110-00002'],,['3397'],True,,True
133,RS01SBPD-DP01A-06-DOSTAD104,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/LV01A/DP01A_2023/DP01A_20230911_081903_predeploy.JPG,317,ATOSU-58320-00018,['ATOSU-58320-00018'],,['317'],True,,True
134,RS01SBPS-PC01A-05-ADCPTD102,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\ADCPTD102_2023\ADCPTD102_20230816_163730_predeploy.JPG,23338,ATAPL-58315-00004,['ATAPL-58315-00004'],,['23338'],True,,True
135,RS01SBPS-PC01A-06-VADCPA101,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\VADCPA101_2023\VACDCPA101_20230816_150926_predeploy.JPG,21829/23340,ATAPL-58345-00004,['ATAPL-58345-00004'],,['21829'],True,,True
136,RS01SBPS-PC01A-07-CAMDSC102,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\CAMDSC102_2023\CAMDSC102_20230816_151047_predeploy.JPG,18838,ATAPL-78437-00004,['ATAPL-78437-00004'],[0.5],[' SUBC18838'],,,True
137,RS01SBPS-PC01A-08-HYDBBA103,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\HYDBBA103_2023\HYDBBA103_20230816_164235_predeploy.JPG,1292,,['ATAPL-58324-00007'],,['1292'],True,,True
138,RS01SBPS-PC01A-4A-CTDPFA103,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\CTDPFA103_2023\CTDPFA103_20230816_150605_predeploy.JPG,16-50118,ATAPL-66662-00009,['ATAPL-66662-00009'],,['16-50118'],True,,True
139,RS01SBPS-PC01A-4A-DOSTAD103,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\DOSTAD103_2023\DOSTAD103_20230816_150712_predeploy.JPG,472,ATAPL-58320-00011,['ATAPL-58320-00011'],,['472'],True,,True
140,RS01SBPS-PC01A-4B-PHSENA102,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\PHSENA102_2023\PHSENA102_20230816_133806_predeploy.JPG,P0111,ATAPL-58337-00002,['ATAPL-58337-00003'],,['P0111'],True,,True
141,RS01SBPS-PC01A-4C-FLORDD103,2023,Z:\For_Science\Mitch\Equipment_photos\PC01A\PC01A_2023\FLORDD103_2023\FLORDD103_20230816_150817_predeploy.JPG,1129,ATAPL-58322-00002,['ATAPL-58322-00002'],,['1129'],True,,True
142,RS01SBPS-SF01A-2A-CTDPFA102,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\CTDPFA102_2023\CTDPFA102_20230816_154817_predeploy.JPG,16-50115,ATAPL-66662-00008,['ATAPL-66662-00008'],,['16-50115'],True,,True
143,RS01SBPS-SF01A-2A-DOFSTA102,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\DOFSTA102_2023\DOFSTA102_20230816_155300_predeploy.JPG,43-3163,,['ATAPL-58694-00005'],,['43-3163'],True,,True
144,RS01SBPS-SF01A-2D-PHSENA101,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\PHSENA101_2023\PHSENA101_20230816_154736_predeploy.JPG,P0113,ATAPL-58337-00005,['ATAPL-58337-00005'],,['P0113'],True,,True
145,RS01SBPS-SF01A-3A-FLORTD101,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\FLORTD101_2023\FLORTD101_20230816_155556_predeploy.JPG,1150,ATOSU-58322-00008,['ATOSU-58322-00008'],,['1150'],True,,True
146,RS01SBPS-SF01A-3B-OPTAAD101,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\OPTAAD101_2023\OPTAAD101_20230816_155451_predeploy.JPG,223,ATOSU-58332-00007,['ATOSU-58332-00007'],,['223'],True,,True
147,RS01SBPS-SF01A-4A-NUTNRA101,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\NUTNRA101_2023\NUTNRA101_20230816_154520_predeploy.JPG,334,ATOSU-68020-00005,"['ATAPL-58345-00004', 'ATAPL-70114-00002', 'ATAPL-58345-00005', 'ATAPL-58345-00006']","[0.5, 0.5, 0.5, 0.38]","[' 23340', ' 23341', ' 23342', 'AQS-6334']",,,True
148,RS01SBPS-SF01A-4B-VELPTD102,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\VELPTD102_2023\VELPTD102_20230816_154605_predeploy.JPG,6802,ATAPL-70114-00004,['ATAPL-70114-00004'],[0.5],['AQS-6802'],,,True
149,RS01SBPS-SF01A-4F-PCO2WA101,2023,Z:\For_Science\Mitch\Equipment_photos\SF01A\SF01A_2023\PCO2WA101_2023\PCO2WA101_20230816_135018_predeploy.JPG,C0076,ATAPL-58336-00003,['ATAPL-58336-00003'],,['C0076'],True,,True
150,RS01SLBS-LJ01A-09-HYDBBA102,2023,Z:\For_Science\Mitch\Equipment_photos\LJ01A\HYDBBA102_2023\HYDBBA102_20230816_222247_predeploy.JPG,ATAPL-50324-00011,,,,,,,
151,RS01SLBS-LJ01A-10-ADCPTE101,2023,Z:\For_Science\Mitch\Equipment_photos\LJ01A\ADCPTE101_2020\ADCPTE101_20230818_101613_recovered.JPG,18813,,['ATAPL-68073-00002'],,['18813'],True,,True
152,RS01SLBS-LJ01A-11-OPTAAC103,2023,Z:\For_Science\Mitch\Equipment_photos\LJ01A\OPTAAC103_2023\OPTAAC103_20230816_222607_predeploy.JPG,05-08317,,,,,,,
153,RS01SLBS-LJ01A-12-CTDPFB101,2023,"Z:\For_Science\Mitch\Equipment_photos\LJ01A\CTDPFB101_2023\CTDPFB101_20230816_222713_predeploy.JPG,Z:\For_Science\Mitch\Equipment_photos\LJ01A\CTDPFB101_2023\CTDPFB101_20230816_222746_predeploy.JPG,Z:\For_Science\Mitch\Equipment_photos\LJ01A\CTDPFB101_2023\CTDPFB101_20230817_111018_predeploy.JPG",ATAPL-67627-00004,,,,,,,
154,RS01SLBS-LJ01A-12-DOSTAD101,2023,Z:\For_Science\Mitch\Equipment_photos\LJ01A\DOSTAD101_2020\DOSTAD101_20230818_101328_recovered.JPG,ATAPL-58320-00014,,,,,,,
155,RS01SUM2-MJ01B-00-FLOBNC101,2023,/Volumes/Data0/Archive/Cruise_data/RCA/Visions_23/ship/cruiseshare/For_Science/Mitch/Equipment_photos/MJ01B/FLOBNC101_2023/FLOBNC101_20230827_172101_predeloy.JPG,1,ATAPL-58334-00001,['ATAPL-71444-00001'],,['1'],True,,True
