referenceDesignator,Cruise,instrumentType,recoverDate,assetID,serialNumber
CE02SHBP-LJ01D-05-ADCPTB104,TN393,ADCPT-B,2022-08-18T23:51:00,ATOSU-69826-00001,18493
CE02SHBP-LJ01D-06-CTDBPN106,TN393,CTDBP-N,2022-08-18T23:51:00,ATOSU-69827-00002,16-50114
CE02SHBP-LJ01D-06-DOSTAD106,TN393,DOSTA-D,2022-08-18T23:51:00,ATOSU-58320-00019,311
CE02SHBP-LJ01D-07-VEL3DC108,TN393,VEL3D-C,2022-08-18T23:51:00,ATOSU-69829-00001,VEC-5157, VEC-13934
CE02SHBP-LJ01D-08-OPTAAD106,TN393,OPTAA-D,2022-08-18T23:51:00,ATOSU-58332-00007,223
CE02SHBP-LJ01D-09-PCO2WB103,TN393,PCO2W-B,2022-08-18T23:51:00,ATOSU-70570-00004,C0118
CE02SHBP-LJ01D-10-PHSEND103,TN393,PHSEN-D,2022-08-18T23:51:00,ATOSU-70571-00004,P0159
CE02SHBP-LJ01D-11-HYDBBA106,TN393,HYDBB-A,2022-08-18T23:51:00,ATOSU-58324-00012,1411
CE02SHBP-MJ01C-07-ZPLSCB101,TN393,ZPLSC-B,2022-08-18T23:51:00,ATOSU-63259-00001,3
CE04OSBP-LJ01C-05-ADCPSI103,TN393,ADCPS-I,2022-08-19T06:13:00,ATOSU-69825-00002,18153
CE04OSBP-LJ01C-06-CTDBPO108,TN393,CTDBP-O,2022-08-19T06:13:00,ATOSU-69828-00002,16P71879-7249
CE04OSBP-LJ01C-06-DOSTAD108,TN393,DOSTA-D,2022-08-19T06:13:00,ATOSU-58320-00022,381
CE04OSBP-LJ01C-07-VEL3DC107,TN393,VEL3D-C,2022-08-19T06:13:00,ATOSU-69829-00002,VEC-5156, VEC-12587
CE04OSBP-LJ01C-08-OPTAAC104,TN393,OPTAA-C,2022-08-19T06:13:00,ATOSU-69943-00011,140
CE04OSBP-LJ01C-09-PCO2WB104,TN393,PCO2W-B,2022-08-19T06:13:00,ATOSU-70570-00003,C0090
CE04OSBP-LJ01C-10-PHSEND107,TN393,PHSEN-D,2022-08-19T06:13:00,ATOSU-70571-00003,P0132
CE04OSBP-LJ01C-11-HYDBBA105,TN393,HYDBB-A,2022-08-19T06:13:00,ATOSU-58324-00013,1250
CE04OSPD-DP01B-00-ENG000000,TN393,DP-VEHICLE,2022-08-26T10:18:09,ATAPL-71444-00005,5
CE04OSPD-DP01B-01-CTDPFL105,TN393,CTDPF-L,2022-08-26T10:18:09,ATOSU-67977-00006,52-0146
CE04OSPD-DP01B-02-VEL3DA105,TN393,VEL3D-A,2022-08-26T10:18:09,ATAPL-58346-00003,1130
CE04OSPD-DP01B-03-FLCDRA103,TN393,FLCDR-A,2022-08-26T10:18:09,ATAPL-70111-00005,3716
CE04OSPD-DP01B-04-FLNTUA103,TN393,FLNTU-A,2022-08-26T10:18:09,ATAPL-70110-00002,3397
CE04OSPD-DP01B-06-DOSTAD105,TN393,DOSTA-D,2022-08-26T10:18:09,ATAPL-58320-00016,487
CE04OSPS-PC01B-05-ZPLSCB102,TN393,ZPLSC-B,2022-08-10T16:21:00,ATOSU-63259-00002,4
CE04OSPS-PC01B-4A-CTDPFA109,TN393,CTDPF-A,2022-08-10T16:21:00,ATOSU-66662-00014,16-50113
CE04OSPS-PC01B-4A-DOSTAD109,TN393,DOSTA-D,2022-08-10T16:21:00,ATOSU-58320-00017,316
CE04OSPS-PC01B-4B-PHSENA106,TN393,PHSEN-A,2022-08-10T16:21:00,ATAPL-58337-00003,P0111
CE04OSPS-PC01B-4D-PCO2WA105,TN393,PCO2W-A,2022-08-10T16:21:00,ATAPL-58336-00002,C0075
CE04OSPS-SF01B-2A-CTDPFA107,TN393,CTDPF-A,2022-08-10T16:21:00,ATOSU-66662-00013,16-50112
CE04OSPS-SF01B-2A-DOFSTA107,TN393,DOFST-A,2022-08-10T16:21:00,ATOSU-58694-00007,43-3136
CE04OSPS-SF01B-2B-PHSENA108,TN393,PHSEN-A,2022-08-10T16:21:00,ATOSU-58337-00011,P0153
CE04OSPS-SF01B-3A-FLORTD104,TN393,FLOR-D,2022-08-10T16:21:00,ATOSU-58322-00013,1289
CE04OSPS-SF01B-3B-OPTAAD105,TN393,OPTAA-D,2022-08-10T16:21:00,ATOSU-58332-00008,221
CE04OSPS-SF01B-3C-PARADA102,TN393,PARAD-A,2022-08-10T16:21:00,ATAPL-78452-00003,1401
CE04OSPS-SF01B-3D-SPKIRA102,TN393,SPKIR-A,2022-08-10T16:21:00,ATAPL-58341-00007,293
CE04OSPS-SF01B-4A-NUTNRA102,TN393,NUTNR-A,2022-08-10T16:21:00,ATOSU-68020-00008,625
CE04OSPS-SF01B-4B-VELPTD106,TN393,VELPT-D,2022-08-10T16:21:00,ATOSU-70114-10008,ALD-7050, AQD-12692
CE04OSPS-SF01B-4F-PCO2WA102,TN393,PCO2W-A,2022-08-10T16:21:00,ATOSU-58336-00005,C0078
CE04OSPS-SF01B-2A-CTDPFA107,TN407,CTDPF-A,2022-09-03T18:05:00,ATOSU-66662-00007,16-50019
CE04OSPS-SF01B-2A-DOFSTA107,TN407,DOFST-A,2022-09-03T18:05:00,ATOSU-58694-00004,43-2853
CE04OSPS-SF01B-2B-PHSENA108,TN407,PHSEN-A,2022-09-03T18:05:00,ATOSU-58337-00008,P0131
CE04OSPS-SF01B-3A-FLORTD104,TN407,FLOR-D,2022-09-03T18:05:00,ATOSU-58322-00008,1150
CE04OSPS-SF01B-3B-OPTAAD105,TN407,OPTAA-D,2022-09-03T18:05:00,ATOSU-58332-00003,128
CE04OSPS-SF01B-3C-PARADA102,TN407,PARAD-A,2022-09-03T18:05:00,ATAPL-78452-00006,1404
CE04OSPS-SF01B-3D-SPKIRA102,TN407,SPKIR-A,2022-09-03T18:05:00,ATAPL-58341-00004,267
CE04OSPS-SF01B-4A-NUTNRA102,TN407,NUTNR-A,2022-09-03T18:05:00,ATOSU-68020-00005,344
CE04OSPS-SF01B-4B-VELPTD106,TN407,VELPT-D,2022-09-03T18:05:00,ATAPL-70114-00004,AQS-6802, AQD-11930
CE04OSPS-SF01B-4F-PCO2WA102,TN407,PCO2W-A,2022-09-03T18:05:00,ATOSU-58336-00007,C0116
RS01SBPD-DP01A-00-ENG000000,TN393,DP-VEHICLE,2022-08-27T00:49:45,ATAPL-71444-00002,2
RS01SBPD-DP01A-01-CTDPFL104,TN393,CTDPF-L,2022-08-27T00:49:45,ATAPL-67977-00002,52-0137
RS01SBPD-DP01A-02-VEL3DA103,TN393,VEL3D-A,2022-08-27T00:49:45,ATOSU-58346-00007,1216
RS01SBPD-DP01A-03-FLCDRA102,TN393,FLCDR-A,2022-08-27T00:49:45,ATAPL-70111-00004,3715
RS01SBPD-DP01A-04-FLNTUA102,TN393,FLNTU-A,2022-08-27T00:49:45,ATAPL-70110-00004,3637
RS01SBPD-DP01A-06-DOSTAD104,TN393,DOSTA-D,2022-08-27T00:49:45,ATAPL-58320-00001,125
RS01SBPS-PC01A-05-ADCPTD102,TN393,ADCPT-D,2022-09-02T20:45:00,ATAPL-58315-00004,23338
RS01SBPS-PC01A-06-VADCPA101,TN393,VADCP-A,2022-09-02T20:45:00,ATAPL-58345-00004,21829, 23340
RS01SBPS-PC01A-07-CAMDSC102,TN393,CAMDS,2022-09-02T20:45:00,ATAPL-78437-00004,SUBC18833, SUBC18837, SUBC18838, SUBC18906, SUBC18908
RS01SBPS-PC01A-08-HYDBBA103,TN393,HYDBB-A,2022-09-02T20:45:00,ATAPL-58324-00007,1292
RS01SBPS-PC01A-4A-CTDPFA103,TN393,CTDPF-A,2022-09-02T20:45:00,ATAPL-66662-00009,16-50118
RS01SBPS-PC01A-4A-DOSTAD103,TN393,DOSTA-D,2022-09-02T20:45:00,ATAPL-58320-00011,472
RS01SBPS-PC01A-4B-PHSENA102,TN393,PHSEN-A,2022-09-02T20:45:00,ATAPL-58337-00010,P0162
RS01SBPS-PC01A-4C-FLORDD103,TN393,FLOR-D,2022-09-02T20:45:00,ATAPL-58322-00002,1129
RS01SBPS-SF01A-2A-CTDPFA102,TN393,CTDPF-A,2022-09-02T20:45:00,ATAPL-66662-00005,16P71179-50030
RS01SBPS-SF01A-2A-DOFSTA102,TN393,DOFST-A,2022-09-02T20:45:00,ATAPL-58694-00003,43-2891
RS01SBPS-SF01A-2D-PHSENA101,TN393,PHSEN-A,2022-09-02T20:45:00,ATAPL-58337-00006,P0133
RS01SBPS-SF01A-3A-FLORTD101,TN393,FLOR-D,2022-09-02T20:45:00,ATAPL-58322-00009,1292
RS01SBPS-SF01A-3B-OPTAAD101,TN393,OPTAA-D,2022-09-02T20:45:00,ATAPL-58332-00004,186
RS01SBPS-SF01A-3C-PARADA101,TN393,PARAD-A,2022-09-02T20:45:00,ATAPL-78452-00002,1400
RS01SBPS-SF01A-3D-SPKIRA101,TN393,SPKIR-A,2022-09-02T20:45:00,ATAPL-58341-00006,292
RS01SBPS-SF01A-4A-NUTNRA101,TN393,NUTNR-A,2022-09-02T20:45:00,ATAPL-68020-00006,617
RS01SBPS-SF01A-4B-VELPTD102,TN393,VELPT-D,2022-09-02T20:45:00,ATAPL-70114-00006,AQS-7205, AQD-12227
RS01SBPS-SF01A-4F-PCO2WA101,TN393,PCO2W-A,2022-09-02T20:45:00,ATAPL-58336-00003,C0076
RS01SLBS-LJ01A-11-OPTAAC103,TN393,OPTAA-C,2022-08-08T17:19:00,ATAPL-69943-00002,155
RS01SLBS-LJ01A-12-CTDPFB101,TN393,CTDPF-B,2022-08-08T17:19:00,ATAPL-67627-00004,16-50119
RS01SLBS-LJ01A-12-DOSTAD101,TN393,DOSTA-D,2022-08-08T17:19:00,ATAPL-58320-00013,474
RS01SUM1-LJ01B-06-OBSSPA103,AT42-12,OBSSP-A,2022-08-20T06:35:00,ATAPL-58331-00011,T6J77
RS03AXBS-LJ03A-09-HYDBBA302,RR1713,HYDBB-A,2022-08-27T23:46:00,ATAPL-58324-00011,1389
RS03AXBS-LJ03A-10-ADCPTE303,RR1713,ADCPT-E,2022-08-27T23:46:00,ATAPL-68073-00005,23443
RS03AXBS-LJ03A-05-HPIESA301,TN382,HPIES-A,2022-08-27T23:46:00,ATAPL-58323-00004,4, 002, 179
RS03AXBS-MJ03A-06-PRESTA301,TN382,PREST-A,2022-08-29T02:19:00,ATAPL-67639-00003,5471540-0029
RS03AXBS-LJ03A-11-OPTAAC303,TN393,OPTAA-C,2022-08-27T23:46:00,ATAPL-69943-00009,250
RS03AXBS-LJ03A-12-CTDPFB301,TN393,CTDPF-B,2022-08-27T23:46:00,ATAPL-67627-00005,16-50128
RS03AXBS-LJ03A-12-DOSTAD301,TN393,DOSTA-D,2022-08-27T23:46:00,ATAPL-58320-00006,276
RS03AXPD-DP03A-00-ENG000000,TN393,DP-VEHICLE,2022-08-28T11:11:38,ATAPL-71444-00006,6
RS03AXPD-DP03A-01-CTDPFL304,TN393,CTDPF-L,2022-08-28T11:11:38,ATOSU-67977-00007,52-0138
RS03AXPD-DP03A-02-VEL3DA303,TN393,VEL3D-A,2022-08-28T11:11:38,ATAPL-58346-00006,1215
RS03AXPD-DP03A-03-FLCDRA302,TN393,FLCDR-A,2022-08-28T11:11:38,ATAPL-70111-00002,3399
RS03AXPD-DP03A-03-FLNTUA302,TN393,FLNTU-A,2022-08-28T11:11:38,ATOSU-70110-00006,3762
RS03AXPD-DP03A-06-DOSTAD304,TN393,DOSTA-D,2022-08-28T11:11:38,ATOSU-58320-00018,317
RS03AXPS-PC03A-05-ADCPTD302,TN393,ADCPT-D,2022-08-12T00:38:00,ATAPL-58315-00002,18974
RS03AXPS-PC03A-06-VADCPA301,TN393,VADCP-A,2022-08-12T00:38:00,ATAPL-58345-00006,23244, 23342
RS03AXPS-PC03A-07-CAMDSC302,TN393,CAMDS,2022-08-12T00:38:00,ATAPL-78437-00012,SUBC20119, SUBC20149, SUBC20146, SUBC20101, SUBC20112
RS03AXPS-PC03A-08-HYDBBA303,TN393,HYDBB-A,2022-08-12T00:38:00,ATAPL-58324-00009,1362
RS03AXPS-PC03A-4A-CTDPFA303,TN393,CTDPF-A,2022-08-12T00:38:00,ATAPL-66662-00011,16-50123
RS03AXPS-PC03A-4A-DOSTAD303,TN393,DOSTA-D,2022-08-12T00:38:00,ATAPL-58320-00012,473
RS03AXPS-PC03A-4B-PHSENA302,TN393,PHSEN-A,2022-08-12T00:38:00,ATAPL-58337-00001,P0059
RS03AXPS-PC03A-4C-FLORDD303,TN393,FLOR-D,2022-08-12T00:38:00,ATAPL-58322-00012,1294
RS03AXPS-SF03A-2A-CTDPFA302,TN393,CTDPF-A,2022-08-12T00:38:00,ATAPL-66662-00010,16-50122
RS03AXPS-SF03A-2A-DOFSTA302,TN393,DOFST-A,2022-08-12T00:38:00,ATAPL-58694-00006,43-3164
RS03AXPS-SF03A-2D-PHSENA301,TN393,PHSEN-A,2022-08-12T00:38:00,ATAPL-58337-00009,P0161
RS03AXPS-SF03A-3A-FLORTD301,TN393,FLOR-D,2022-08-12T00:38:00,ATAPL-58322-00010,1293
RS03AXPS-SF03A-3B-OPTAAD301,TN393,OPTAA-D,2022-08-12T00:38:00,ATAPL-58332-00006,251
RS03AXPS-SF03A-3C-PARADA301,TN393,PARAD-A,2022-08-12T00:38:00,ATAPL-78452-00004,1402
RS03AXPS-SF03A-3D-SPKIRA301,TN393,SPKIR-A,2022-08-12T00:38:00,ATOSU-58341-00008,251
RS03AXPS-SF03A-4A-NUTNRA301,TN393,NUTNR-A,2022-08-12T00:38:00,ATAPL-68020-00007,618
RS03AXPS-SF03A-4B-VELPTD302,TN393,VELPT-D,2022-08-12T00:38:00,ATAPL-70114-00007,AQS-7340, AQD-12469
RS03AXPS-SF03A-4F-PCO2WA301,TN393,PCO2W-A,2022-08-12T00:38:00,ATAPL-58336-00009,C0123
RS03INT1-MJ03C-07-PPSDNA301,TN393,PPSDN-A,2022-08-12T17:45:00,ATAPL-58338-00002,13003-01
RS03INT1-MJ03C-07-RASFLA301,TN393,RASFL-A,2022-08-12T17:45:00,ATAPL-58340-00001,12881-01
RS03INT1-MJ03C-07-D1000A301,TN393,RASFL-A,2022-08-12T17:45:00,ATAPL-58340-00001,12881-01
RS03INT1-MJ03C-10-TRHPHA301,TN393,TRHPH-A,2022-08-12T17:44:00,ATAPL-67653-00002,2
RS01SUM2-MJ01B-00-FLOBNC101,TN393,FLOBN-CAT,2022-08-20T13:52:39,ATAPL-58334-00001,1
RS01SUM2-MJ01B-00-FLOBNM101,TN393,FLOBN-MOS,2022-08-20T22:24:33,ATAPL-70113-00002,2
RS01SUM2-MJ01B-00-OSMOIA101,TN393,OSMOI-A,2022-08-20T14:25:16,ATAPL-58333-00003,3
RS01SUM2-MJ01B-08-OVRSRA101,TN393,MARUM,2022-09-15T21:06:00,PIRSN-OVRSRA-00001,1
RS01SUM2-MJ01B-11-CTDPFA110,TN393,MARUM,2022-08-20T02:40:00,PIRSN-CTDPFA-10001,16-50216,63-1609
RS03CCAL-MJ03F-12-CTDPFB305,TN393,CTDPF-B,2022-08-13T21:45:00,ATCWK-67627-00011,16-50327
RS03CCAL-MJ03F-12-CTDPFB305,TN407,CTDPF-B,2022-08-30T01:41:00,ATCWK-67627-00009,16-50325
RS03ECAL-MJ03E-12-CTDPFB306,TN393,CTDPF-B,2022-08-14T22:52:00,ATCWK-67627-00010,16-50326
RS03ASHS-MJ03B-00-OSMOIA301,TN393,OSMOI-A,2022-08-30T03:48:00,ATAPL-58333-00004,4
RS03ASHS-MJ03B-10-CTDPFB304,TN393,CTDPF-B,2022-08-15T06:53:00,ATCWK-67627-00006,16-50209
